patch_id,patch_id_s1,timestamp_s2,timestamp_s1,season_s2,season_s1,lon,lat,climatezone
S2A_MSIL2A_20171002T094031_64_46,S1B_IW_GRDH_1SDV_20170929T045327_34TCR_64_46,2017-10-02 09:40:31,2017-09-29 04:53:27,0.63734,0.65687,19.42963,45.54054,26
S2A_MSIL2A_20171101T94132_78_77,S1B_IW_GRDH_1SDV_20171101T153951_35VNJ_78_77,2017-11-01 09:41:32,2017-11-01 15:39:51,0.42359,0.42359,28.76286,61.38551,27
S2B_MSIL2A_20170924T093019_36_52,S1A_IW_GRDH_1SDV_20170925T043321_35VNH_36_52,2017-09-24 09:30:19,2017-09-25 04:33:21,0.68913,0.68278,27.80357,60.76643,27
S2B_MSIL2A_20180204T94160_59_17,S1A_IW_GRDH_1SDV_20180204T154856_35VNJ_59_17,2018-02-04 09:41:55,2018-02-04 15:48:56,0.36662,0.36662,28.36451,62.03653,27
S2B_MSIL2A_20171112T114339_68_18,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_68_18,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.28359,53.01904,15
S2A_MSIL2A_20170905T095031_11_51,S1B_IW_GRDH_1SDV_20170907T043202_35VNL_11_51,2017-09-05 09:50:31,2017-09-07 04:32:02,0.79928,0.78867,27.27653,63.47227,27
S2B_MSIL2A_20180422T093029_54_63,S1A_IW_GRDH_1SDV_20180422T044621_34TEQ_54_63,2018-04-22 09:30:29,2018-04-22 04:46:21,0.86983,0.86983,21.82192,44.46491,26
S2B_MSIL2A_20170927T94020_86_64,S1A_IW_GRDH_1SDV_20170925T043501_35ULB_86_64,2017-09-27 09:40:20,2017-09-25 04:35:01,0.66993,0.68278,25.487,55.24088,26
S2A_MSIL2A_20180419T101031_38_89,S1A_IW_GRDH_1SDV_20180420T161303_34VDN_38_89,2018-04-19 10:10:31,2018-04-20 16:13:03,0.85661,0.86108,20.0239,60.36661,26
S2B_MSIL2A_20180502T093039_82_19,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_82_19,2018-05-02 09:30:39,2018-04-30 16:24:50,0.90928,0.90212,22.23531,44.03606,26
S2B_MSIL2A_20170824T100019_26_26,S1A_IW_GRDH_1SDV_20170824T165022_33TWM_26_26,2017-08-24 10:00:19,2017-08-24 16:50:22,0.85671,0.85671,15.41544,46.66678,26
S2B_MSIL2A_20180204T94160_45_86,S1A_IW_GRDH_1SDV_20180204T043253_35VPK_45_86,2018-02-04 09:41:55,2018-02-04 04:32:53,0.36662,0.36662,29.96857,62.16604,27
S2B_MSIL2A_20180521T100029_81_56,S1A_IW_GRDH_1SDV_20180521T044858_34WFS_81_56,2018-05-21 10:00:29,2018-05-21 04:48:58,0.96409,0.96409,25.08392,64.25874,27
S2B_MSIL2A_20170818T112109_55_62,S1A_IW_GRDH_1SDV_20170818T063514_29SNB_55_62,2017-08-18 11:21:09,2017-08-18 06:35:14,0.88173,0.88173,-8.24906,37.2692,8
